sourceId,name,category,listUrl,listStatus,itemsFound,detailOkRatio,primaryIssue,suggestedAction,userDecision,userNote
kyb-kyzx,科研资讯,科研学术,https://kyb.sztu.edu.cn/kyzx/kydt.htm,LIST_FAIL (列表页 HTTP 503: https://kyb.sztu.edu.cn/kyzx/kydt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sao-zcgz,党委学工部政策规章,规章制度,https://sao.sztu.edu.cn/zcgz.htm,LIST_FAIL (列表页 HTTP 503: https://sao.sztu.edu.cn/zcgz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
ai-dqgz,人工智能学院党群工作,党建,https://ai.sztu.edu.cn/dtfc/dqgz1.htm,LIST_FAIL (列表页 HTTP 503: https://ai.sztu.edu.cn/dtfc/dqgz1.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-txgz,音乐学院团学工作,学生工作,https://musicyyds.sztu.edu.cn/dwxg/txgz.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/dwxg/txgz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sgim-xshd,中德学院学生活动,学生工作,https://sgim.sztu.edu.cn/sshd/xshd1.htm,LIST_FAIL (列表页 HTTP 503: https://sgim.sztu.edu.cn/sshd/xshd1.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-xsjz,音乐学院学术讲座,科研学术,https://musicyyds.sztu.edu.cn/xsjl/xsjz.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/xsjl/xsjz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
hr-bszn-szjs,人事师资建设办事指南,规章制度,https://hr.sztu.edu.cn/bszn/szjs.htm,LIST_FAIL (列表页 HTTP 503: https://hr.sztu.edu.cn/bszn/szjs.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-tzgg-ky,未来技术学院科研通知,科研学术,https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/ky.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/ky.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
ai-txfc,人工智能学院团学风采,科研学术,https://ai.sztu.edu.cn/dtfc/txfc.htm,LIST_FAIL (列表页 HTTP 503: https://ai.sztu.edu.cn/dtfc/txfc.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-hzjl,音乐学院合作交流,合作交流,https://musicyyds.sztu.edu.cn/xsjl/hzjl.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/xsjl/hzjl.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sgim-xkjs,中德学院学科竞赛,学生工作,https://sgim.sztu.edu.cn/xywh2022/xkjs.htm,LIST_FAIL (列表页 HTTP 503: https://sgim.sztu.edu.cn/xywh2022/xkjs.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
ai-xsxx,人工智能学院学术信息,科研学术,https://ai.sztu.edu.cn/kxyj1/xsxx.htm,LIST_FAIL (列表页 HTTP 503: https://ai.sztu.edu.cn/kxyj1/xsxx.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-tzgg-xg,未来技术学院学工通知,通知公告,https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/xg.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/xg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-xshy,未来技术学院学术会议,科研学术,https://futuretechnologyschool.sztu.edu.cn/xw_hd/xshy.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/xshy.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-zsxx,音乐学院招生信息,招生,https://musicyyds.sztu.edu.cn/zsxx.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/zsxx.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
ai-gjhz,人工智能学院国际合作,合作交流,https://ai.sztu.edu.cn/hzjl/gjhz.htm,LIST_FAIL (列表页 HTTP 503: https://ai.sztu.edu.cn/hzjl/gjhz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-jpkc,音乐学院精品课程,其他,https://musicyyds.sztu.edu.cn/xsjl/jpkc.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/xsjl/jpkc.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-tzgg-xy,未来技术学院校园通知,通知公告,https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/xy.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/xy.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
zzb-tzgg,组织统战部通知,党建,https://zzb.sztu.edu.cn/djgz1/tzgg1.htm,LIST_FAIL (列表页 HTTP 503: https://zzb.sztu.edu.cn/djgz1/tzgg1.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-xyrz,音乐学院行业认知,其他,https://musicyyds.sztu.edu.cn/xyrz.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/xyrz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-tzgg-xz,未来技术学院行政通知,通知公告,https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/xz.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/xz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jjjc-jjyw,纪检要闻,新闻动态,https://jjjc.sztu.edu.cn/jjyw.htm,LIST_FAIL (列表页 HTTP 503: https://jjjc.sztu.edu.cn/jjyw.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
it-xwgg,信息中心新闻,新闻动态,https://it.sztu.edu.cn/xwgg.htm,LIST_FAIL (列表页 HTTP 503: https://it.sztu.edu.cn/xwgg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
it-kpxz,信息中心科普新知,科研学术,https://it.sztu.edu.cn/xwgg/kpxz.htm,LIST_FAIL (列表页 HTTP 503: https://it.sztu.edu.cn/xwgg/kpxz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
aqbw-djdt,保卫部党建动态,党建,https://aqbw.sztu.edu.cn/djgz/djd.htm,LIST_FAIL (列表页 HTTP 503: https://aqbw.sztu.edu.cn/djgz/djd.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
aqbw-gzzd,保卫部规章制度,规章制度,https://aqbw.sztu.edu.cn/zcfg1/gzzd.htm,LIST_FAIL (列表页 HTTP 503: https://aqbw.sztu.edu.cn/zcfg1/gzzd.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
aqbw-jtaq,保卫部交通安全,其他,https://aqbw.sztu.edu.cn/aqjy1/jtaq.htm,LIST_FAIL (列表页 HTTP 503: https://aqbw.sztu.edu.cn/aqjy1/jtaq.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jjjc-ljwh,廉洁文化,党建,https://jjjc.sztu.edu.cn/ljwh1/ljwh.htm,OK,15,0/3,NO_CONTENT_MOST,补 content parser 的正文选择器,,
tusports-weiqi,体艺学院围棋校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1039&a1020514p=1&a1020514c=20,OK,5,0/3,DETAIL_PARTIAL_FAIL,少量抽查失败，抽更多条再判断,,
sbc-gzdt,国资实验室部动态,新闻动态,https://sbc.sztu.edu.cn/xwgg/gzdt.htm,OK,20,0/3,DETAIL_PARTIAL_FAIL,少量抽查失败，抽更多条再判断,,
tusports-pingpang,体艺学院乒乓球校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1040&a1020514p=1&a1020514c=20,OK,6,0/3,DETAIL_PARTIAL_FAIL,少量抽查失败，抽更多条再判断,,
tusports-tyww,体艺学院体育舞蹈校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1052&a1020514p=1&a1020514c=20,OK,7,0/3,DETAIL_PARTIAL_FAIL,少量抽查失败，抽更多条再判断,,
hq-tzgg,后勤部通知,通知公告,https://hq.sztu.edu.cn/zhxx/tzgg.htm,OK,15,0/3,DETAIL_PARTIAL_FAIL,少量抽查失败，抽更多条再判断,,
qsa-xwdt,质量标准学院新闻动态,新闻动态,https://qsa.sztu.edu.cn/xwzx.jsp?urltype=tree.TreeTempUrl&wbtreeid=1048&a1020514p=1&a1020514c=20,OK,21,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-xwdt,商学院新闻,新闻动态,https://bs.sztu.edu.cn/index/xwdt.htm,OK,16,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-tzgg,商学院通知,通知公告,https://bs.sztu.edu.cn/index/tzgg.htm,OK,16,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-jzxw,药学院讲座新闻,科研学术,https://cop.sztu.edu.cn/kydt/xsjz/jzxw.htm,OK,4,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
utl-djgzdt,交通学院党建工作动态,党建,https://utl.sztu.edu.cn/djyl/jcdj/djgzdt.htm,OK,3,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
cop-tzgg,药学院党建通知公告,党建,https://cop.sztu.edu.cn/dqgz/djzj/tzgg.htm,OK,10,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
design-dtgz,创意设计学院党团工作,党建,https://design.sztu.edu.cn/xydt/dtgz.htm,OK,121,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-xsdt,商学院学术动态,科研学术,https://bs.sztu.edu.cn/index/xsdt.htm,OK,16,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
bs-xysh,商学院校园生活,学生工作,https://bs.sztu.edu.cn/index/xysh.htm,OK,16,0/3,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
xxjs-jcdlgjjs,新一代信息技术研究院集成电路方向,其他,https://xxjs.sztu.edu.cn/yjfx/jcdlgjjs.htm,OK,2,0/1,NO_DATE_AND_AUTHOR,页面本身无字段，可忽略或用兜底,,
